"Fuente","Titulo","Año","Abstract","Palabras_clave","Fecha_busqueda"
"Google Scholar","Effectiveness of local anesthesia in pediatric dental practice","2000","… recorded data concerning local anesthetic use and … pediatric dentist observer rated each 
child&apos;s anxiety before the initial injection of local anesthetic and the effectiveness of pain …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:27.349341"
"Google Scholar","Administering local anaesthesia to paediatric dental patients–current status and prospects for the future","2002","… pain was reported for the injection of local anaesthetic … local anaesthetic system has been 
developed as a possible solution to reduce the pain related to the local anaesthetic injection […","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:27.349341"
"Google Scholar","Does computerized anaesthesia reduce pain during local anaesthesia in paediatric patients for dental treatment? A systematic review and meta‐analysis","2020","… local dental anaesthesia is a technique that intends to reduce the pain related to local injection 
of the anaesthetic … related to computerized and conventional anesthesia’, the evidence …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:27.349341"
"Google Scholar","Post-operative pain and pain management in children after dental extraction under general anaesthesia","2012","… of the children had previous experience of local analgesia, and … local anesthetic on quality 
of recovery characteristics following dental rehabilitation under general anesthesia in children…","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:27.349341"
"Google Scholar","[HTML][HTML] Virtual reality analgesia for pediatric dental patients","2018","… However, local anesthesia requires an injection into the jaw with a long needle, and 
patients often refuse it because they consider the injection painful and or because patients fear/…","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:27.349341"
"Google Scholar","Pain reported by children after dental extractions under general anaesthesia: a pilot study","1993","… A prospective study has been performed of factors influencing postoperative pain in a cohort 
of children undergoing dental extractions under general anaesthesia. Postoperative pain …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:27.349341"
"Google Scholar","[HTML][HTML] Pain and anxiety management for pediatric dental procedures using various combinations of sedative drugs: A review","2016","… pain and anxiety in pedodontic patients, pharmacologic sedation, anesthesia and analgesia 
… Midazolam is commonly used as an oral sedation agent in children; it has several features …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:27.349341"
"Google Scholar","Lidocaine use for pain management during paediatric dental rehabilitation under general anaesthesia","2013","… local analgesia in controlling patient’s physiologic pain reaction during dental rehabilitation 
under general anaesthesia. … , the anaesthetist sought to start the anaesthetic procedure with …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:27.349341"
"Google Scholar","Postoperative pain in children after dentistry under general anesthesia","2015","… pain in children undergoing general anesthesia for dentistry. … Society of Anesthesiology 
(ASA) Class I and II children 4–6 … hours after discharge overcoming the local anesthetic effect. …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:27.349341"
"Google Scholar","Pain relief for paediatric dental chair anaesthesia: current practice in a community dental clinic","2003","… It was apparent that oral and intravenous administration of analgesia provides good pain 
relief; but local anaesthetic injections may appear to be significantly superior to this. Both …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:27.349341"
"Google Scholar","[HTML][HTML] Pain behaviour and distress in children during two sequential dental visits: comparing a computerised anaesthesia delivery system and a traditional syringe","2008","… the pain and distress response of children receiving a local anesthesia injection using a … 
procedure, the delivery of local anaesthetic solutions and the needle puncturing the mucosa …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:28.873801"
"Google Scholar","Dental anaesthesia for children–effects of a computer-controlled delivery system on pain and heart rate: a randomised clinical trial","2018","… of pain and changes in heart rate in children being given dental local anaesthesia using a 
… Immediately after the local anaesthetic, children were asked to remove their masks and rate …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:28.873801"
"Google Scholar","Anaesthesia, pain and recovery profiles in children following dental extractions","2020","… the anaesthetic practices, rates of postoperative pain and the recovery trajectory of children 
having urgent dental … This study revealed anaesthetic practices for children receiving dental …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:28.873801"
"Google Scholar","[HTML][HTML] Assessment of pain in paediatric dental patients during administration of local anesthesia with and without the use of audiovisual distraction","2023","… This study aimed to compare the pain associated with local anesthetic injection delivered 
with and without the use of distraction as a behavior management technique in 6–8-year-old …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:28.873801"
"Google Scholar","[HTML][HTML] … passive distraction techniques while administering local anaesthesia on the dental anxiety, behaviour and pain levels of children: A randomised controlled …","2022","… used in paediatrics, its effectiveness in reducing pain and dental anxiety and improving 
behaviour during local anaesthetic injection for dental treatment in children is yet to be studied. …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:28.873801"
"Google Scholar","Pharmacological Postoperative Pain Management for Paediatric Dental Extractions Under General Anaesthesia: A Systematic Review","2025","… Pain is the most common postoperative complication in children following dental GA. There 
is … the efficacy of local anaesthetic (LA) agents for postoperative pain management following …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:28.873801"
"Google Scholar","Is it the injection device or the anxiety experienced that causes pain during dental local anaesthesia?","2008","… local anaesthesia during dental treatment, since it offers pain-free treatment, children's comfort 
and cooperation, and it allows the dental … local anaesthetic injection that produces pain …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:28.873801"
"Google Scholar","[HTML][HTML] Local analgesia in paediatric dentistry: a systematic review of techniques and pharmacologic agents","2017","… Even though it is not possible, based on this systematic review, to determine if there are 
any health benefits from the use of local analgesia apart from pain reduction it should be …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:28.873801"
"Google Scholar","Pain perception using a computer-controlled anaesthetic delivery system in paediatric dentistry: A review","2020","… and techniques to ensure a less painful injection for children. … the keywords anesthesia, 
computer, dental and pediatric. The … -Controlled Intraligamentary Local Anesthetic Injection for …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:28.873801"
"Google Scholar","Children's ratings of dental injection and treatment pain, and the influence of the time taken to administer the injection","1995","Children&apos;s ratings of dental injection and treatment pain, and the influence of the time 
taken to administer the inject Page 1 International Journal of Paediatric Dentistry 1995; 5: 8 1…","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:28.873801"
"Google Scholar","… pain, disruptive behaviour and anxiety in children aging 5-8 years old undergoing different modalities of local anaesthetic injection for dental treatment: a randomised …","2020","… , disruptive behaviour and anxiety caused by different anaesthetic techniques in children. … anaesthetic techniques in pain, disruptive behaviour and anxiety in dental treatment of children …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:30.21024"
"Google Scholar","Techniques for effective local anaesthetic administration for the paediatric patient","2020","… Local anaesthesia forms the backbone of pain control … experience for paediatric patients 
when seeking dental treatment… of local anaesthetic techniques used in paediatric dentistry, as …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:30.21024"
"Google Scholar","Anesthetic effectiveness of articaine and lidocaine in pediatric patients during dental procedures: a systematic review and meta-analysis","2020","… of articaine with lidocaine in pediatric dental anesthesia. Methods… anesthetic agent based 
on subjective pain evaluating scales. … Anaesthetic efficacy of 4% articaine and 2% lidocaine for …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:30.21024"
"Google Scholar","The influence of distinct techniques of local dental anesthesia in 9-to 12-year-old children: randomized clinical trial on pain and anxiety","2021","… in the injection techniques for local dental anesthesia promises … pain during injection, essential 
for managing anxiety in … project about local dental anesthetic techniques in children and …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:30.21024"
"Google Scholar","[PDF][PDF] Intraligamental analgesia for post-operative pain control in children having dental extractions under general anaesthesia","2005","… Intraligamental analgesia (ILA), a form of intraosseous anaesthesia, is a method of providing 
LA by injecting a local anaesthetic solution into the periodontal ligament space. One of the …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:30.21024"
"Google Scholar","Preoperative analgesics for additional pain relief in children and adolescents having dental treatment","2016","… in paediatric dentistry for procedures under local anaesthetic. … analgesia in children and 
adolescents having routine dental … preoperative analgesia has reduced postoperative pain and …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:30.21024"
"Google Scholar","[HTML][HTML] Procedural pain in routine dental care for children: a part of the Swedish BITA study","2018","… pain in children who indicated injection as the reason was 3.56 (SD 1.987), and the mean 
intensity of pain in children who stated both injection … achieve an adequate anaesthetic effect. …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:30.21024"
"Google Scholar","Local anesthesia in pediatric dentistry: A literature review on current alternative techniques and approaches","2021","… of a local anesthetic solution through injection is the traditional method employed in alleviating dental pain in children. … Pain perception using a computer-controlled anaesthetic delivery …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:30.21024"
"Google Scholar","Paediatric dental emergencies: a retrospective study and a proposal for definition and guidelines including pain management","2018","… anaesthesia appointment. This implies that 11.6% of the patients who came to the dental 
emergency for pain and were treated chairside, failed to return for further needed dental care. …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:30.21024"
"Google Scholar","[HTML][HTML] … of pain perception during the administration of local anaesthesia with computerized delivery system (WAND) and conventional technique in pediatric dental …","2020","… for a relatively painless injection, a computerized local anaesthetic delivery system “Wand” … 
eliminate the pain associated with dental injections. The Wand delivers the anaesthetic at a …","(dental anesthetic OR dental anaesthetic OR dental anesthesia OR dental anaesthesia) AND (paediatric OR pediatric OR child OR children) AND pain","2025-11-06 12:25:30.21024"
